Start time,End time,High frequency (Hz),Low frequency (Hz),GOES,Flare,"Notes (corona loop brightening, etc.)",Other notes
2023-2-8/03:20,2023-2-8/03:40,6000000,200000,F,,,
2023-2-8/04:05,2023-2-8/04:25,2000000,400000,F,,,
2023-2-9/07:15,2023-2-9/07:30,20000000,300000,T,F,,SDO not shown
2023-2-10/02:56,2023-2-10/03:05,20000000,500000,F,,,
2023-2-11/00:50,2023-2-11/01:05,10000000,600000,F,,,
2023-2-11/03:05,2023-2-11/03:30,20000000,200000,F,,,
2023-2-11/04:13,2023-2-11/04:30,10000000,200000,F,,,
2023-2-11/06:02,2023-2-11/06:15,20000000,400000,T,T,Spot,
2023-2-11/06:25,2023-2-11/06:35,6000000,700000,F,,,
2023-2-11/06:38,2023-2-11/06:43,5000000,600000,F,,,
2023-2-11/06:48,2023-2-11/07:00,10000000,300000,F,,,
2023-2-11/08:12,2023-2-11/08:20,9000000,500000,T,T,Loop & Spot,
2023-2-11/08:21,2023-2-11/08:30,10000000,600000,F,,,
2023-2-11/08:31,2023-2-11/08:45,10000000,500000,F,,,
2023-2-11/08:46,2023-2-11/08:53,8000000,600000,F,,,
2023-2-11/09:25,2023-2-11/10:05,10000000,100000,T,T,Spot,
2023-2-11/10:17,2023-2-11/10:40,10000000,200000,F,,,
2023-2-11/10:20,2023-2-11/10:40,20000000,200000,F,,,
2023-2-11/12:05,2023-2-11/12:25,8000000,300000,F,,,
2023-2-11/12:27,2023-2-11/12:45,20000000,300000,F,,,
2023-2-11/13:52,2023-2-11/14:15,20000000,200000,T,T,Loop,
2023-2-11/14:08,2023-2-11/14:20,10000000,400000,F,,,
2023-2-11/14:11,2023-2-11/14:25,20000000,400000,F,,,
2023-2-11/14:31,2023-2-11/14:50,20000000,200000,T,,Loop,
2023-2-11/15:08,2023-2-11/15:25,10000000,200000,F,,,
2023-2-11/18:28,2023-2-11/18:40,5000000,400000,T,T,Spot,
2023-2-11/18:49,2023-2-11/19:05,20000000,300000,F,,,
2023-2-13/06:48,2023-2-13/07:07,20000000,300000,F,,,
2023-2-13/11:11,2023-2-13/11:25,20000000,300000,F,,,
2023-2-13/11:28,2023-2-13/11:40,10000000,400000,F,,,
2023-2-13/12:27,2023-2-13/12:35,10000000,500000,F,,,
2023-2-13/12:40,2023-2-13/12:55,10000000,500000,F,,,
2023-2-13/18:50,2023-2-13/18:55,4000000,700000,F,,,
2023-2-13/19:36,2023-2-13/19:45,20000000,400000,F,,,
2023-2-13/20:23,2023-2-13/20:50,20000000,100000,F,,,
2023-2-13/20:36,2023-2-13/20:41,20000000,600000,F,,,
2023-2-14/01:08,2023-2-14/01:20,7000000,300000,F,,,
2023-2-14/02:59,2023-2-14/03:18,10000000,200000,F,,,
2023-2-14/03:51,2023-2-14/04:08,6000000,300000,T,F,,
2023-2-14/23:11,2023-2-14/23:25,10000000,200000,F,,,
2023-2-14/23:19,2023-2-14/23:40,7000000,200000,F,,,
2023-2-14/23:27,2023-2-14/23:40,10000000,200000,F,,,
2023-2-15/01:06,2023-2-15/01:47,2000000,200000,F,,,
2023-2-15/04:49,2023-2-15/05:00,10000000,600000,F,,,
2023-2-15/19:20,2023-2-15/19:30,20000000,600000,T,T,Loop,
2023-2-15/20:51,2023-2-15/21:00,20000000,600000,F,,,
2023-2-16/05:34,2023-2-16/05:45,20000000,400000,F,,,
2023-2-16/12:37,2023-2-16/12:41,20000000,1000000,F,,,
2023-2-16/14:20,2023-2-16/14:35,5000000,500000,F,,,
2023-2-16/15:39,2023-2-16/15:47,2000000,500000,F,,,
2023-2-16/20:18,2023-2-16/20:27,5000000,600000,F,,,
2023-2-16/20:36,2023-2-16/20:43,6000000,600000,T,F,,
2023-2-16/21:05,2023-2-16/22:00,3000000,100000,F,,,
2023-2-16/23:01,2023-2-16/23:04,20000000,1000000,F,,,
2023-2-17/06:31,2023-2-17/07:05,20000000,300000,F,,,
2023-2-17/17:21,2023-2-17/17:28,3000000,500000,F,,,
2023-2-17/19:37,2023-2-17/19:55,10000000,300000,F,,,
2023-2-17/20:02,2023-2-17/22:00,8000000,50000,F,,,
2023-2-18/00:58,2023-2-18/01:20,5000000,300000,F,,,
2023-2-18/02:26,2023-2-18/02:40,10000000,200000,F,,,
2023-2-18/02:35,2023-2-18/02:55,7000000,200000,F,,,
2023-2-18/03:03,2023-2-18/03:20,7000000,300000,F,,,
2023-2-18/04:51,2023-2-18/04:59,10000000,600000,F,,,
2023-2-18/07:01,2023-2-18/07:15,6000000,700000,F,,,
2023-2-18/07:29,2023-2-18/07:35,2000000,600000,F,,,
2023-2-18/07:36,2023-2-18/07:42,5000000,700000,F,,,
2023-2-19/17:20,2023-2-19/17:30,10000000,500000,F,,,
2023-2-19/18:01,2023-2-19/18:15,10000000,500000,F,,,
2023-2-19/19:21,2023-2-19/19:24,20000000,5000000,F,,,
2023-2-20/06:15,2023-2-20/06:40,2000000,700000,T,T,Spot,
2023-2-20/06:45,2023-2-20/07:20,4000000,100000,T,F,,
2023-2-20/07:40,2023-2-20/09:15,20000000,100000,F,,,
2023-2-20/08:38,2023-2-20/08:50,7000000,500000,F,,,
2023-2-20/08:51,2023-2-20/09:00,5000000,500000,T,T,Loop,
2023-2-20/08:58,2023-2-20/09:10,6000000,300000,T,T,Loop,
2023-2-20/09:23,2023-2-20/09:45,20000000,200000,T,T,Loop,
2023-2-20/11:30,2023-2-20/11:40,10000000,500000,F,,,
2023-2-20/12:13,2023-2-20/12:30,7000000,300000,F,,,
2023-2-20/14:53,2023-2-20/15:35,20000000,100000,T,T,Loop,
2023-2-20/18:33,2023-2-20/19:30,5000000,200000,F,,,
2023-2-20/19:13,2023-2-20/19:40,3000000,200000,T,T,Spot,
2023-2-20/20:48,2023-2-20/20:51,4000000,1000000,F,,,
