Start time_stereo,End time_stereo,High frequency (Hz)_stereo,Low frequency (Hz)_stereo,Notes_stereo,Frequency Change_stereo,Duration (seconds)_stereo,Drift Rate (Hz/s)_stereo,Date,Source_stereo,Start time_psp,End time_psp,High frequency (Hz)_psp,Low frequency (Hz)_psp,Notes_psp,Frequency Change_psp,Duration (seconds)_psp,Drift Rate (Hz/s)_psp,Source_psp,Start Time (UTC),End Time (UTC),Start Energy (keV),End Energy (keV),Instrument,Notes,Duration (seconds),Energy Change (keV),Source
2021-09-21 09:43:00,2021-09-21 10:50:00,15000000,40000,,14960000,4020.0,3721.3930348258705,2021-09-21,STEREO,2021-09-21 09:40:00,2021-09-21 10:27:00,20000000,80000,Very obvious,19920000,2820.0,7063.829787234043,PSP,2021-09-21 10:50:00,2021-09-21 12:05:00,80,20, SEP,,4500.0,60,MAVEN
2021-10-28 15:30:00,2021-10-28 19:15:00,15000000,20000,,14980000,13500.0,1109.6296296296296,2021-10-28,STEREO,2021-10-28 15:25:00,2021-10-28 19:15:00,20000000,40000,Very obvious,19960000,13800.0,1446.376811594203,PSP,2021-10-28 16:55:00,2021-10-28 18:37:00,100,20, SEP, leads into a hefty SEP electron event so maybe flare-caused but poor coverage on EUV,6120.0,80,MAVEN
2022-02-15 21:55:00,2022-02-16 00:25:00,10000000,40000,,9960000,9000.0,1106.6666666666667,2022-02-15,STEREO,2022-02-15 21:50:00,2022-02-16 03:20:00,20000000,30000,,19970000,19800.0,1008.5858585858585,PSP,2022-02-15 22:55:00,2022-02-16 01:00:00,100,20, SEP, leads into a SEP event so maybe flare but poor EUV coverage,7500.0,80,MAVEN
2022-05-08 02:00:00,2022-05-08 02:50:00,5000000,100000,,4900000,3000.0,1633.3333333333333,2022-05-08,STEREO,2022-05-08 20:55:00,2022-05-08 21:30:00,20000000,130000,,19870000,2100.0,9461.904761904761,PSP,2022-05-08 05:25:00,2022-05-08 06:30:00,80,20, SEP,,3900.0,60,MAVEN
2022-05-17 20:37:00,2022-05-17 21:54:00,2300000,70000,,2230000,4620.0,482.68398268398266,2022-05-17,STEREO,2022-05-17 20:30:00,2022-05-17 21:55:00,20000000,60000,,19940000,5100.0,3909.8039215686276,PSP,2022-05-17 22:15:00,2022-05-18 00:30:00,60,20, SEP,,8100.0,40,MAVEN
2022-06-29 17:37:00,2022-06-29 18:00:00,1000000,70000,,930000,1380.0,673.9130434782609,2022-06-29,STEREO,2022-06-29 17:35:00,2022-06-29 18:45:00,6000000,60000,,5940000,4200.0,1414.2857142857142,PSP,2022-06-29 20:45:00,2022-06-29 21:30:00,80,20, SEP,only seen in 2F,2700.0,60,MAVEN
2022-06-30 05:05:00,2022-06-30 05:37:00,6700000,70000,,6630000,1920.0,3453.125,2022-06-30,STEREO,2022-06-30 05:00:00,2022-06-30 06:15:00,10000000,70000,,9930000,4500.0,2206.6666666666665,PSP,2022-06-30 05:30:00,2022-06-30 08:30:00,100,20, SEP, on top of minor SEP event,10800.0,80,MAVEN
2022-07-01 11:37:00,2022-07-01 12:08:00,15000000,100000,,14900000,1860.0,8010.752688172043,2022-07-01,STEREO,2022-07-01 15:47:00,2022-07-01 16:11:00,10000000,90000,,9910000,1440.0,6881.944444444444,PSP,2022-07-01 16:25:00,2022-07-01 17:00:00,80,20, SEP, low intensity and on top of minor SEP event,2100.0,60,MAVEN
2022-07-22 13:05:00,2022-07-22 13:32:00,3500000,40000,,3460000,1620.0,2135.8024691358023,2022-07-22,STEREO,2022-07-22 13:05:00,2022-07-22 13:15:00,7000000,300000,,6700000,600.0,11166.666666666666,PSP,2022-07-22 17:55:00,2022-07-22 21:05:00,80,20, SEP, very clear signature,11400.0,60,MAVEN
2022-11-17 09:16:00,2022-11-17 11:24:00,10000000,50000,,9950000,7680.0,1295.5729166666667,2022-11-17,STEREO,2022-11-17 09:15:00,2022-11-17 09:50:00,3500000,160000,,3340000,2100.0,1590.4761904761904,PSP,2022-11-17 10:20:00,2022-11-17 12:50:00,40,20, SEP,,9000.0,20,MAVEN
