Start time,End time,High frequency (Hz),Low frequency (Hz),Notes,Frequency Change,Duration (seconds),Drift Rate (Hz/s)
2021-09-21 09:43:00,2021-09-21 10:50:00,15000000,40000,,14960000,4020.0,3721.3930348258705
2021-10-28 15:30:00,2021-10-28 19:15:00,15000000,20000,,14980000,13500.0,1109.6296296296296
2022-02-15 21:55:00,2022-02-16 00:25:00,10000000,40000,,9960000,9000.0,1106.6666666666667
2022-05-08 02:00:00,2022-05-08 02:50:00,5000000,100000,,4900000,3000.0,1633.3333333333333
2022-05-17 20:37:00,2022-05-17 21:54:00,2300000,70000,,2230000,4620.0,482.68398268398266
2022-06-29 17:37:00,2022-06-29 18:00:00,1000000,70000,,930000,1380.0,673.9130434782609
2022-06-30 05:05:00,2022-06-30 05:37:00,6700000,70000,,6630000,1920.0,3453.125
2022-07-01 11:37:00,2022-07-01 12:08:00,15000000,100000,,14900000,1860.0,8010.752688172043
2022-07-22 13:05:00,2022-07-22 13:32:00,3500000,40000,,3460000,1620.0,2135.8024691358023
2022-11-17 09:16:00,2022-11-17 11:24:00,10000000,50000,,9950000,7680.0,1295.5729166666667
2022-12-27 17:30:00,2022-12-27 21:30:00,7000000,20000,,6980000,14400.0,484.72222222222223
2023-03-02 17:40:00,2023-03-02 19:55:00,10000000,20000,,9980000,8100.0,1232.0987654320988
2023-07-11 11:20:00,2023-07-11 12:26:00,15000000,70000,,14930000,3960.0,3770.2020202020203
2023-07-15 07:30:00,2023-07-15 13:35:00,15000000,8000,Very obvious,14992000,21900.0,684.566210045662
2023-09-19 20:10:00,2023-09-19 21:30:00,15000000,80000,,14920000,4800.0,3108.3333333333335
2023-09-19 22:30:00,2023-09-19 23:40:00,15000000,70000,,14930000,4200.0,3554.7619047619046
2024-01-10 19:00:00,2024-01-11 00:30:00,15000000,24000,Trigger vertical line preceding,14976000,19800.0,756.3636363636364
2024-04-03 17:35:00,2024-04-03 19:00:00,5000000,60000,,4940000,5100.0,968.6274509803922
2024-05-01 18:15:00,2024-05-01 18:38:00,15000000,150000,,14850000,1380.0,10760.869565217392
2024-05-01 20:05:00,2024-05-01 20:40:00,15000000,130000,,14870000,2100.0,7080.952380952381
2024-07-10 21:10:00,2024-07-11 00:30:00,1000000,30000,,970000,12000.0,80.83333333333333
2024-07-29 01:10:00,2024-07-29 02:46:00,15000000,70000,,14930000,5760.0,2592.0138888888887
2024-08-05 13:45:00,2024-08-05 21:50:00,10000000,26000,Very obvious,9974000,29100.0,342.7491408934708
2024-08-07 13:45:00,2024-08-07 15:20:00,15000000,50000,Trigger vertical line preceding,14950000,5700.0,2622.8070175438597
2024-09-03 07:50:00,2024-09-03 12:00:00,6000000,30000,,5970000,15000.0,398.0
2024-09-09 00:45:00,2024-09-09 05:35:00,3000000,40000,,2960000,17400.0,170.11494252873564
2024-09-09 14:15:00,2024-09-09 16:20:00,600000,50000,,550000,7500.0,73.33333333333333
2024-09-10 00:10:00,2024-09-10 02:00:00,1400000,40000,,1360000,6600.0,206.06060606060606
2024-10-05 02:10:00,2024-10-05 05:20:00,4000000,40000,,3960000,11400.0,347.36842105263156
