Start time,End time,High frequency (Hz),Low frequency (Hz)
2023-1-1/01:30,2023-1-1/04:00,10000000.0,50000
2023-1-3/06:25,2023-1-3/09:00,20000000,70000
2023-1-4/03:14,2023-1-4/03:20,10000000.0,600000
2023-1-4/05:53,2023-1-4/06:15,20000000,300000
2023-1-4/03:14,2023-1-4/03:29,10000000.0,600000
2023-1-4/09:19,2023-1-4/09:24,20000000,600000
2023-1-4/12:34,2023-1-4/12:45,10000000.0,1000000.0
2023-1-4/14:31,2023-1-4/14:34,20000000,500000
2023-1-5/17:58,2023-1-5/18:50,20000000,600000
2023-1-6/05:43,2023-1-6/05:55,10000000.0,400000
2023-1-6/07:16,2023-1-6/07:21,10000000.0,400000
2023-1-6/07:36,2023-1-6/07:41,10000000.0,500000
2023-1-6/07:53,2023-1-6/08:10,20000000.0,200000
2023-1-6/08:29,2023-1-6/08:40,20000000.0,200000
2023-1-6/09:36,2023-1-6/09:48,10000000.0,300000
2023-1-6/10:20,2023-1-6/10:40,10000000.0,200000
2023-1-6/12:07,2023-1-6/12:17,20000000,200000
2023-1-6/21:48,2023-1-6/22:30,20000000,100000.0
2023-1-8/18:14,2023-1-8/19:30,20000000,100000.0
2023-1-9/08:50,2023-1-9/09:05,30000000,100000.0
2023-1-9/14:43,2023-1-9/15:05,20000000,200000
2023-1-9/17:42,2023-1-9/19:30,7000000,60000
2023-1-9/18:48,2023-1-9/20:30,4000000,60000
2023-1-9/20:52,2023-1-9/22:00,1000000.0,100000.0
2023-1-9/22:29,2023-1-10/0:00,6000000,60000
2023-1-10/00:10,2023-1-10/01:30,20000000,60000
2023-1-10/03:38,2023-1-10/04:30,5000000,100000.0
2023-1-10/09:10,2023-1-10/10:30,3000000,50000
2023-1-10/11:21,2023-1-10/11:40,20000000,300000
2023-1-10/12:42,2023-1-10/13:10,20000000,200000
2023-1-10/15:40,2023-1-10/16:10,20000000,100000.0
2023-1-10/17:36,2023-1-10/17:42,10000000.0,700000
2023-1-10/17:58,2023-1-10/18:25,20000000,100000.0
2023-1-11/02:47,2023-1-11/03:00,20000000,300000
2023-1-11/05:43,2023-1-11/06:00,20000000,300000
2023-1-11/05:52,2023-1-11/06:08,20000000,300000
2023-1-11/05:55,2023-1-11/06:10,20000000,300000
2023-1-11/13:15,2023-1-11/13:25,20000000,400000
2023-1-11/17:18,2023-1-11/18:00,10000000,70000
2023-1-13/03:03,2023-1-13/03:20,10000000,1000000
2023-1-17/15:50,2023-1-17/16:15,10000000,600000
2023-1-19/01:28,2023-1-19/01:40,6000000,600000
2023-1-19/02:24,2023-1-19/02:40,20000000,400000
2023-1-21/06:54,2023-1-21/07:05,10000000,600000
2023-1-21/07:18,2023-1-21/07:25,8000000,1000000
2023-1-22/03:44,2023-1-22/04:00,20000000,400000
2023-1-23/01:36,2023-1-23/02:10,6000000,200000
2023-1-23/03:15,2023-1-23/03:50,6000000,200000
2023-1-23/14:46,2023-1-23/15:26,6000000,200000
2023-1-26/01:35,2023-1-26/02:15,20000000,70000
2023-1-27/01:40,2023-1-27/01:50,10000000,700000
2023-2-1/06:15,2023-2-1/07:00,9000000,100000
2023-2-1/13:15,2023-2-1/13:50,20000000,100000
2023-2-2/06:00,2023-2-2/7:00,9000000,40000
2023-2-2/06:30,2023-2-2/07:15,9000000,40000
2023-2-2/07:00,2023-2-2/07:20,10000000,400000
2023-2-3/07:12,2023-2-3/07:25,10000000,500000
2023-2-3/07:24,2023-2-3/07:35,10000000,700000
2023-2-3/07:28,2023-2-3/07:35,10000000,700000
2023-2-3/23:45,2023-2-4/01:00,20000000,50000
2023-2-4/00:15,2023-2-4/00:25,20000000,300000
2023-2-4/06:13,2023-2-4/06:30,20000000,400000
2023-2-4/06:23,2023-2-4/06:38,20000000,500000
2023-2-4/06:31,2023-2-4/06:50,20000000,300000
2023-2-4/06:42,2023-2-4/06:55,20000000,400000
2023-2-4/07:17,2023-2-4/08:00,20000000,40000
2023-2-5/02:50,2023-2-5/03:20,8000000,100000
2023-2-5/03:05,2023-2-5/03:30,10000000,200000
2023-2-5/03:22,2023-2-5/04:00,10000000,100000
2023-2-5/03:39,2023-2-5/03:50,20000000,400000
2023-2-8/03:20,2023-2-8/03:40,6000000,200000
2023-2-8/04:05,2023-2-8/04:25,2000000,400000
2023-2-9/07:15,2023-2-9/07:30,20000000,300000
2023-2-10/02:56,2023-2-10/03:05,20000000,500000
2023-2-11/00:50,2023-2-11/01:05,10000000,600000
2023-2-11/03:05,2023-2-11/03:30,20000000,200000
2023-2-11/04:13,2023-2-11/04:30,10000000,200000
2023-2-11/06:02,2023-2-11/06:15,20000000,400000
2023-2-11/06:25,2023-2-11/06:35,6000000,700000
2023-2-11/06:38,2023-2-11/06:43,5000000,600000
2023-2-11/06:48,2023-2-11/07:00,10000000,300000
2023-2-11/08:12,2023-2-11/08:20,9000000,500000
2023-2-11/08:21,2023-2-11/08:30,10000000,600000
2023-2-11/08:31,2023-2-11/08:45,10000000,500000
2023-2-11/08:46,2023-2-11/08:53,8000000,600000
2023-2-11/09:25,2023-2-11/10:05,10000000,100000
2023-2-11/10:17,2023-2-11/10:40,10000000,200000
2023-2-11/10:20,2023-2-11/10:40,20000000,200000
2023-2-11/12:05,2023-2-11/12:25,8000000,300000
2023-2-11/12:27,2023-2-11/12:45,20000000,300000
2023-2-11/13:52,2023-2-11/14:15,20000000,200000
2023-2-11/14:08,2023-2-11/14:20,10000000,400000
2023-2-11/14:11,2023-2-11/14:25,20000000,400000
2023-2-11/14:31,2023-2-11/14:50,20000000,200000
2023-2-11/15:08,2023-2-11/15:25,10000000,200000
2023-2-11/18:28,2023-2-11/18:40,5000000,400000
2023-2-11/18:49,2023-2-11/19:05,20000000,300000
2023-2-13/06:48,2023-2-13/07:07,20000000,300000
2023-2-13/11:11,2023-2-13/11:25,20000000,300000
2023-2-13/11:28,2023-2-13/11:40,10000000,400000
